Time,Temperature (°C),Humidity (%),Device,Status
2025-10-30 20:31:22,27.7,75.7,unknown,unknown
2025-10-30 20:31:27,27.7,75.5,unknown,unknown
2025-10-30 20:31:32,27.7,75.5,unknown,unknown
2025-10-30 20:31:37,27.6,75.7,unknown,unknown
2025-10-30 20:31:42,27.6,76.4,unknown,unknown
2025-10-30 20:31:47,27.7,75.4,unknown,unknown
2025-10-30 20:31:52,27.7,75.4,unknown,unknown
2025-10-30 20:31:57,27.6,76,unknown,unknown
2025-10-30 20:32:02,27.7,76.2,unknown,unknown
2025-10-30 20:32:07,27.7,76.3,unknown,unknown
2025-10-30 20:32:12,27.6,75.9,unknown,unknown
2025-10-30 20:32:17,27.7,76,unknown,unknown
2025-10-30 20:32:22,27.7,76,unknown,unknown
2025-10-30 20:32:27,27.7,76,unknown,unknown
2025-10-30 20:32:32,27.6,75.9,unknown,unknown
2025-10-30 20:32:37,27.7,75.9,unknown,unknown
2025-10-30 20:32:42,27.7,76.2,unknown,unknown
2025-10-30 20:32:47,27.7,75.6,unknown,unknown
2025-10-30 20:32:52,27.6,75.6,unknown,unknown
2025-10-30 20:32:57,27.6,76,unknown,unknown
2025-10-30 20:33:02,27.7,76.5,unknown,unknown
2025-10-30 20:33:07,27.7,76.4,unknown,unknown
2025-10-30 20:33:12,27.7,76,unknown,unknown
2025-10-30 20:33:17,27.7,76.1,unknown,unknown
2025-10-30 20:33:22,27.7,76.2,unknown,unknown
2025-10-30 20:33:27,27.7,76.3,unknown,unknown
2025-10-30 20:33:32,27.7,76.2,unknown,unknown
2025-10-30 20:33:37,27.7,76.3,unknown,unknown
2025-10-30 20:33:42,27.7,76,unknown,unknown
2025-10-30 20:33:47,27.6,76.2,unknown,unknown
2025-10-30 20:33:52,27.7,75.8,unknown,unknown
2025-10-30 20:33:57,27.7,76,unknown,unknown
2025-10-30 20:34:02,27.7,76.1,unknown,unknown
2025-10-30 20:34:07,27.7,76.1,unknown,unknown
2025-10-30 20:34:12,27.7,76.1,unknown,unknown
2025-10-30 20:34:17,27.7,76.3,unknown,unknown
2025-10-30 20:34:22,27.7,76.5,unknown,unknown
2025-10-30 20:34:27,27.7,76.2,unknown,unknown
2025-10-30 20:34:32,27.7,75.9,unknown,unknown
2025-10-30 20:34:37,27.7,76,unknown,unknown
2025-10-30 20:34:42,27.7,76.2,unknown,unknown
2025-10-30 20:34:47,27.7,75.7,unknown,unknown
2025-10-30 20:34:52,27.7,75.7,unknown,unknown
2025-10-30 20:34:57,27.7,76,unknown,unknown
2025-10-30 20:35:02,27.7,75.9,unknown,unknown
2025-10-30 20:35:07,27.7,75.9,unknown,unknown
2025-10-30 20:35:12,27.7,75.7,unknown,unknown
2025-10-30 20:35:17,27.7,76,unknown,unknown
2025-10-30 20:35:22,27.7,75.2,unknown,unknown
2025-10-30 20:35:27,27.7,75,unknown,unknown
2025-10-30 20:35:32,27.7,75.3,unknown,unknown
2025-10-30 20:35:37,27.7,75.8,unknown,unknown
2025-10-30 20:35:42,27.7,75.6,unknown,unknown
2025-10-30 20:35:47,27.7,75.5,unknown,unknown
2025-10-30 20:35:52,27.7,75.6,unknown,unknown
2025-10-30 20:35:57,27.7,76.1,unknown,unknown
2025-10-30 20:36:02,27.7,76.2,unknown,unknown
2025-10-30 20:36:07,27.7,75.5,unknown,unknown
2025-10-30 20:36:12,27.7,75.9,unknown,unknown
2025-10-30 20:36:17,27.7,76,unknown,unknown
2025-10-30 20:36:22,27.7,76.2,unknown,unknown
2025-10-30 20:36:27,27.7,75.8,unknown,unknown
2025-10-30 20:36:32,27.6,75.6,unknown,unknown
2025-10-30 20:36:37,27.7,75.9,unknown,unknown
2025-10-30 20:36:42,27.7,76,unknown,unknown
2025-10-30 20:36:47,27.7,76.2,unknown,unknown
2025-10-30 20:36:52,27.7,76.1,unknown,unknown
2025-10-30 20:36:57,27.7,76.2,unknown,unknown
2025-10-30 20:37:02,27.7,76.6,unknown,unknown
2025-10-30 20:37:08,27.7,76.6,unknown,unknown
2025-10-30 20:37:12,27.7,76,unknown,unknown
2025-10-30 20:37:17,27.7,76.3,unknown,unknown
2025-10-30 20:37:22,27.7,76.2,unknown,unknown
2025-10-30 20:37:27,27.8,76,unknown,unknown
2025-10-30 20:37:33,27.7,75.9,unknown,unknown
2025-10-30 20:37:38,27.8,76.3,unknown,unknown
2025-10-30 20:37:42,27.7,75.9,unknown,unknown
2025-10-30 20:37:48,27.7,75.9,unknown,unknown
2025-10-30 20:37:53,27.8,75.8,unknown,unknown
2025-10-30 20:37:58,27.8,76,unknown,unknown
2025-10-30 20:38:02,27.7,76.1,unknown,unknown
2025-10-30 20:38:08,27.7,75.7,unknown,unknown
2025-10-30 20:38:12,27.8,76,unknown,unknown
2025-10-30 20:38:17,27.7,76.1,unknown,unknown
2025-10-30 20:38:23,27.7,75.6,unknown,unknown
2025-10-30 20:38:28,27.7,75.9,unknown,unknown
2025-10-30 20:38:33,27.7,76.2,unknown,unknown
2025-10-30 20:38:38,27.7,76.3,unknown,unknown
2025-10-30 20:40:07,27.7,76,ON,ON
2025-10-30 20:40:12,27.7,76,ON,ON
2025-10-30 20:40:18,27.7,75.9,ON,ON
2025-10-30 20:40:22,27.7,75.7,ON,ON
2025-10-30 20:40:28,27.7,75.8,ON,ON
2025-10-30 20:40:33,27.7,76,ON,ON
2025-10-30 20:40:38,27.7,75.6,ON,ON
